price,area,Bedrooms,Bathrooms,Balcony,Status,Furnished_status,Price_sqft
4500000,1107,2,2,4,1,1,4065
8500000,1510,3,3,2,1,1,5629
23500000,1800,4,3,2,1,1,13055
4500000,955,2,2,2,1,0,4712
6280000,1500,3,3,2,1,1,4186
13899999,2060,3,3,2,1,1,6747
8200000,1550,3,3,5,1,1,5290
13100000,1200,2,2,2,1,0,10916
10000000,1250,2,2,3,1,1,8000
6500000,1050,2,2,3,1,1,6190
4500000,1055,2,2,2,1,0,4265
14500000,2000,3,4,2,1,1,7250
4000000,510,2,2,2,1,1,7843
42500000,5500,6,7,2,1,0,7727
20000000,2237,3,3,3,1,1,8940
3100000,975,2,2,3,1,1,3179
4800000,1245,3,2,4,1,1,3855
6700000,1250,3,3,2,1,1,5360
12500000,2320,3,3,2,1,1,5387
27000000,2200,4,4,2,1,0,12272
11500000,2300,3,4,2,1,1,5000
9000000,1730,4,3,3,1,0,5202
4500000,1250,3,3,3,1,1,3600
2990000,840,2,2,2,1,1,3559
6200000,1300,3,3,3,1,1,4769
9500000,2184,4,4,4,1,1,4349
14500000,2050,3,3,2,1,0,7073
12500000,1650,3,3,2,1,0,7575
7500000,1495,3,2,3,1,1,5016
12000000,1730,3,3,2,1,1,6936
5500000,1100,3,3,1,1,0,5000
4300000,1250,3,2,1,1,0,3440
4800000,1050,2,2,2,1,1,4571
15000000,1350,3,3,2,1,1,11111
13000000,2275,4,4,4,1,1,5714
6500000,1150,2,3,3,1,1,5652
15000000,2250,4,4,2,1,1,6666
3150000,1050,2,2,2,1,1,3000
12500000,2120,3,3,3,1,0,5896
4100000,1185,4,2,2,1,1,3459
36000000,3700,6,6,4,1,1,9729
5100000,1050,3,2,2,1,1,4857
4500000,800,2,2,2,1,0,5625
13400000,1755,2,3,2,1,1,7635
11000000,1800,4,2,1,1,1,6111
5250000,1535,3,3,2,1,1,3420
14500000,2324,4,5,4,1,1,6239
3200000,750,2,2,1,1,0,4266
9600000,1760,3,4,3,1,1,5454
10000000,1765,3,3,3,1,1,5665
4850000,1090,3,2,2,1,0,4449
8500000,1695,3,4,5,1,1,5014
9800000,1437,3,3,1,1,1,6819
6500000,1295,3,2,3,1,1,5019
